show_id,type,title,director,country,date_added,release_year,duration
s396,Movie,Alien Contact: Outer Space,J. Michael Long,United States,"January 9, 2018",2017,63 min
s398,Movie,Alien Warfare,Jeremiah Jones,United States,"April 5, 2019",2019,88 min
s400,Movie,Alien Xmas,Stephen Chiodo,United States,"November 20, 2020",2020,42 min
s401,Movie,Aliens Ate My Homework,Sean McNamara,United States,"March 6, 2018",2018,90 min
s402,Movie,Alive and Kicking,Susan Glatzer,"Sweden, United States","August 10, 2017",2016,89 min
s403,Movie,All About Love,Adze Ugah,South Africa,"March 6, 2020",2017,79 min
s404,Movie,All About Nina,Eva Vives,United States,"March 18, 2019",2018,101 min
s414,Movie,All Hallows' Eve,Charlie Vaughn,United States,"August 1, 2017",2016,92 min
s416,Movie,All Light Will End,Chris Blake,United States,"February 2, 2019",2018,84 min
s419,Movie,All The Bright Places,Brett Haley,United States,"February 28, 2020",2020,109 min
s420,Movie,All the Devil's Men,Matthew Hope,United Kingdom,"May 15, 2019",2018,100 min
s421,Movie,All the Freckles in the World,Yibrán Asuad,Mexico,"January 3, 2020",2020,90 min
s422,Movie,All The Reasons To Forget,Pedro Coutinho,Brazil,"April 19, 2018",2017,90 min
s423,Movie,All Together Now,Brett Haley,United States,"August 29, 2020",2020,94 min
s424,Movie,"All's Well, End's Well (2009)",Vincent Kok,Hong Kong,"November 9, 2018",2009,99 min
s425,Movie,Alles ist gut,Eva Trobisch,Germany,"June 6, 2019",2019,90 min
s426,Movie,AllI Wish,Susan Walter,United States,"March 18, 2020",2017,95 min
s427,TV Show,Almost Happy,Hernán Guerschuny,Argentina,"May 2, 2020",2020,1 Season
s428,Movie,Almost Love,Mike Doyle,United States,"August 2, 2020",2020,92 min
s430,Movie,Alone in Berlin,Vincent Perez,"United Kingdom, France, Germany","February 15, 2019",2016,103 min
s431,Movie,Alone/Together,Antoinette Jadaone,Philippines,"November 5, 2020",2019,103 min
s432,Movie,Along Came a Spider,Lee Tamahori,"United States, Germany, Canada","October 1, 2019",2001,103 min
s433,Movie,Alpha and Omega 2: A Howl-iday Adventure,Richard Rich,United States,"October 1, 2019",2013,45 min
s434,Movie,Alpha and Omega: The Legend of the Saw Tooth Cave,Richard Rich,"United States, India","January 1, 2020",2014,45 min
s436,Movie,AlphaGo,Greg Kohs,United States,"January 1, 2018",2017,90 min
s440,Movie,Always a Bridesmaid,Trey Haley,United States,"March 3, 2020",2019,98 min
s442,Movie,Always Be My Maybe,Dan Villegas,Philippines,"September 1, 2020",2016,112 min
s443,Movie,Amanda Knox,"Rod Blackhurst, Brian McGinn","Denmark, United States","September 30, 2016",2016,92 min
s444,Movie,Amandla! A Revolution in Four Part Harmony,Lee Hirsch,"South Africa, United States","September 28, 2020",2002,103 min
s445,Movie,Amar,Esteban Crespo,Spain,"July 15, 2017",2017,104 min
s446,Movie,Amar Akbar & Tony,Atul Malhotra,United Kingdom,"June 20, 2017",2015,92 min
s447,Movie,Amar Akbar Anthony,Manmohan Desai,India,"December 31, 2019",1977,172 min
s448,Movie,Amar's Hands,Khaled Youssef,Egypt,"April 26, 2019",2011,125 min
s449,Movie,Amateur,Ryan Koo,United States,"April 6, 2018",2018,96 min
s451,Movie,Amelia: A Tale of Two Sisters,Edward Cotterill,United Kingdom,"June 1, 2017",2017,44 min
s454,Movie,American Anarchist,Charlie Siskel,United States,"June 23, 2017",2016,81 min
s455,Movie,American Assassin,Michael Cuesta,United States,"January 31, 2020",2017,112 min
s456,Movie,American Beauty,Sam Mendes,United States,"January 1, 2020",1999,122 min
s457,Movie,American Circumcision,Brendon Marotta,United States,"December 16, 2018",2017,101 min
s459,TV Show,American Crime Story: The People v. O.J. Simpson,,United States,"March 6, 2019",2016,1 Season
s460,Movie,American Experience: Ruby Ridge,Barak Goodman,United States,"April 19, 2017",2017,53 min
s461,TV Show,American Experience: The Circus,Sharon Grimberg,United States,"May 2, 2019",2018,1 Season
s462,Movie,American Experience: The Island Murder,Mark Zwonitzer,United States,"May 1, 2019",2018,53 min
s463,Movie,American Factory,"Steven Bognar, Julia Reichert",United States,"August 21, 2019",2019,110 min
s464,Movie,American Factory: A Conversation with the Obamas,,United States,"September 5, 2019",2019,10 min
s465,Movie,American Hangman,Wilson Coneybeare,Canada,"July 30, 2019",2019,99 min
s466,Movie,American Heist,Sarik Andreasyan,"Canada, Luxembourg","October 23, 2019",2014,95 min
s467,Movie,American History X,Tony Kaye,United States,"November 1, 2019",1998,119 min
s468,Movie,American Honey,Andrea Arnold,"United Kingdom, United States","April 27, 2019",2016,163 min
s470,Movie,American Masters: Ted Williams,Nick Davis,United States,"April 1, 2019",2018,55 min
s471,Movie,American Murder: The Family Next Door,Jenny Popplewell,United States,"September 30, 2020",2020,84 min
s473,Movie,American Pie 9: Girls' Rules,Mike Elliott,United States,"October 6, 2020",2020,96 min
s474,Movie,American Psycho,Mary Harron,"United States, Canada","September 1, 2019",2000,102 min
s475,Movie,American Son,Kenny Leon,United States,"November 1, 2019",2019,90 min
s477,Movie,American Warfighter,Jerry G. Angelo,United States,"September 13, 2019",2019,106 min
s480,Movie,Among Family,Ozan Açıktan,Turkey,"February 15, 2019",2017,127 min
s481,Movie,Amrapali,Lekh Tandon,India,"July 1, 2017",1966,116 min
s482,Movie,Amy,Asif Kapadia,United Kingdom,"July 26, 2018",2015,128 min
s483,Movie,Amy Schumer Growing,Amy Schumer,United States,"March 19, 2019",2019,61 min
s484,Movie,Amy Schumer: The Leather Special,Amy Schumer,United States,"March 7, 2017",2017,57 min
s485,Movie,An American in Madras,Karan Bali,India,"January 1, 2017",2013,80 min
s486,Movie,An American Tail,Don Bluth,United States,"April 1, 2018",1986,80 min
s487,Movie,An American Tail: Fievel Goes West,"Phil Nibbelink, Simon Wells",United States,"April 1, 2018",1991,75 min
s488,Movie,An American Tail: The Mystery of the Night Monster,Larry Latham,United States,"April 1, 2018",1999,75 min
s489,Movie,An American Tail: The Treasures of Manhattan Island,Larry Latham,United States,"April 1, 2018",2000,79 min
s490,Movie,An Easy Girl,Rebecca Zlotowski,France,"August 13, 2020",2019,93 min
s491,Movie,An Egyptian Story,Youssef Chahine,Egypt,"June 18, 2020",1982,129 min
s492,Movie,An Evening with Beverly Luff Linn,Jim Hosking,"United Kingdom, United States","June 17, 2020",2018,108 min
s493,Movie,An Hour and a Half,Wael Ehsan,Egypt,"April 26, 2019",2012,87 min
s494,Movie,An Imperfect Murder,James Toback,United States,"January 13, 2021",2017,71 min
s496,Movie,An Interview with God,Perry Lang,United States,"March 1, 2019",2018,97 min
s497,Movie,An Ordinary Man,Brad Silberling,"Serbia, United States","October 1, 2020",2017,91 min
s498,Movie,An Unremarkable Christmas,Juan Camilo Pinzon,Colombia,"December 17, 2020",2020,83 min
s499,Movie,An Upper Egyptian,"Ismail Farouk, Hazem Fouda",Egypt,"June 20, 2019",2014,85 min
